	name_surname	comment_text	time
356	Vladislav Furashev	saturation	2019-04-23 16:25:14
357	Armen Davtyan	stormbound	2019-04-23 16:25:17
358	Armen Davtyan	stride	2019-04-23 16:25:46
359	Armen Davtyan	stripe	2019-04-23 16:26:00
360	Vladislav Furashev	sweet tooth	2019-04-23 16:26:32
361	Vladislav Furashev	shall	2019-04-23 16:26:59
362	Vladislav Furashev	spray	2019-04-23 16:27:33
363	Vladislav Furashev	smoker	2019-04-23 16:28:57
364	Vladislav Furashev	scan	2019-04-23 16:29:30
365	Rina Karpova	soundmind	2019-04-23 16:29:49
366	Vladislav Furashev	stream	2019-04-23 16:29:51
367	Kristina Rozental	supercalifragilisticexpialidocious	2019-04-23 16:30:07
368	Vladislav Furashev	saw	2019-04-23 16:31:03
369	Vladislav Furashev	striker	2019-04-23 16:31:59
370	Vladislav Furashev	scooter	2019-04-23 16:32:09
371	Vladislav Furashev	submit	2019-04-23 16:32:46
372	Vladislav Furashev	stuff	2019-04-23 16:33:44
373	Kristina Rozental	self-indulgent	2019-04-23 16:33:45
374	Kristina Rozental	starfish	2019-04-23 16:34:09
375	Kristina Rozental	sleepover	2019-04-23 16:39:08
376	Kristina Rozental	spaghettification	2019-04-23 16:44:26
377	Kristina Rozental	sudoku	2019-04-23 17:04:20
378	Kristina Rozental	suspense	2019-04-23 17:04:48
379	Kristina Rozental	scarecrow	2019-04-23 17:05:20
380	Kristina Rozental	scientifically	2019-04-23 17:06:07
381	Kristina Rozental	sidewalk	2019-04-23 17:06:29
382	Kristina Rozental	suspenders	2019-04-23 17:07:27
383	Kristina Rozental	skin-walker	2019-04-23 17:09:18
384	Bazar Khadaev	летняя тема	2019-04-23 18:27:57
385	Vladislav Mamenko	sake	2019-04-23 18:51:40
386	Vladislav Mamenko	sedative	2019-04-23 18:52:17
387	Vladislav Mamenko	shallow	2019-04-23 18:52:37
388	Vladislav Mamenko	stars	2019-04-23 18:53:31
389	Vladislav Mamenko	snowboard	2019-04-23 18:53:59
390	Vladislav Mamenko	soda	2019-04-23 18:54:11
391	Vladislav Mamenko	steering	2019-04-23 18:54:36
392	Vladislav Mamenko	shore	2019-04-23 18:55:12
393	Vladislav Mamenko	sadly	2019-04-23 18:55:24
394	Vladislav Mamenko	slavery	2019-04-23 18:55:55
395	Vladislav Mamenko	sheep	2019-04-23 18:56:33
396	Vladislav Mamenko	sandy	2019-04-23 18:57:02
397	Vladislav Mamenko	soulless	2019-04-23 18:57:22
398	Vladislav Mamenko	staircase	2019-04-23 18:57:29
399	Vladislav Mamenko	salesman	2019-04-23 18:58:10
400	Vladislav Mamenko	sewage	2019-04-23 18:58:42
401	Vladislav Mamenko	synchronize	2019-04-23 18:59:29
402	Vladislav Mamenko	sodium	2019-04-23 18:59:38
403	Vladislav Mamenko	socks	2019-04-23 19:00:09
404	Vladislav Mamenko	server	2019-04-23 19:00:40
405	Vladislav Mamenko	sever	2019-04-23 19:00:44
406	Vladislav Mamenko	slack	2019-04-23 19:01:21
